Skill ID;Skill Name;Course Slug;Code;Series;Course Type;Awarded Level;Confidence
SK-037;Empowering Teams;chapter-0-introduction-to-critical-leadership-training-scorm12-qolorhhv;CLT-00;CLT;INTRO;Learning;B
SK-011;Leadership;chapter-1-what-makes-a-leader-scorm12-gkna64je;CLT-01;CLT;SKILLS;Working;A
SK-012;Leadership Fundamentals;chapter-1-what-makes-a-leader-scorm12-gkna64je;CLT-01;CLT;SKILLS;Working;A
SK-036;Delegation & Empowerment;chapter-1-what-makes-a-leader-scorm12-gkna64je;CLT-01;CLT;SKILLS;Learning;B
SK-037;Empowering Teams;chapter-1-what-makes-a-leader-scorm12-gkna64je;CLT-01;CLT;SKILLS;Learning;B
SK-099;Communication;chapter-1-what-makes-a-leader-scorm12-gkna64je;CLT-01;CLT;SKILLS;Learning;B
SK-011;Leadership;chapter-10-conclusion-leadership-is-the-most-important-skill-scorm12-2vctenpb;CLT-02;CLT;SKILLS;Working;B
SK-008;Accountability;chapter-10-conclusion-leadership-is-the-most-important-skill-scorm12-2vctenpb;CLT-02;CLT;SKILLS;Working;B
SK-009;Accountability in Leadership;chapter-10-conclusion-leadership-is-the-most-important-skill-scorm12-2vctenpb;CLT-02;CLT;SKILLS;Learning;B
SK-037;Empowering Teams;chapter-10-conclusion-leadership-is-the-most-important-skill-scorm12-2vctenpb;CLT-02;CLT;SKILLS;Learning;B
SK-011;Leadership;chapter-2-leadership-is-about-human-interaction-scorm12-hfyi9tl7;CLT-03;CLT;SKILLS;Working;A
SK-112;Building Relationships;chapter-2-leadership-is-about-human-interaction-scorm12-hfyi9tl7;CLT-03;CLT;SKILLS;Working;A
SK-008;Accountability;chapter-2-leadership-is-about-human-interaction-scorm12-hfyi9tl7;CLT-03;CLT;SKILLS;Learning;B
SK-009;Accountability in Leadership;chapter-2-leadership-is-about-human-interaction-scorm12-hfyi9tl7;CLT-03;CLT;SKILLS;Learning;B
SK-037;Empowering Teams;chapter-2-leadership-is-about-human-interaction-scorm12-hfyi9tl7;CLT-03;CLT;SKILLS;Learning;B
SK-010;Extreme Ownership;chapter-5-extreme-ownership-scorm12-ec9unjhp;CLT-04;CLT;SKILLS;Working;A
SK-011;Leadership;chapter-5-extreme-ownership-scorm12-ec9unjhp;CLT-04;CLT;SKILLS;Working;A
SK-008;Accountability;chapter-5-extreme-ownership-scorm12-ec9unjhp;CLT-04;CLT;SKILLS;Learning;B
SK-009;Accountability in Leadership;chapter-5-extreme-ownership-scorm12-ec9unjhp;CLT-04;CLT;SKILLS;Learning;B
SK-028;Planning & Scheduling;chapter-5-extreme-ownership-scorm12-ec9unjhp;CLT-04;CLT;SKILLS;Learning;B
SK-011;Leadership;chapter-6-leadership-law-1-cover-and-move-scorm12-8ifufrcg;CLT-05;CLT;SKILLS;Working;A
SK-037;Empowering Teams;chapter-6-leadership-law-1-cover-and-move-scorm12-8ifufrcg;CLT-05;CLT;SKILLS;Working;A
SK-099;Communication;chapter-6-leadership-law-1-cover-and-move-scorm12-8ifufrcg;CLT-05;CLT;SKILLS;Learning;B
SK-011;Leadership;chapter-8-leadership-law-3-prioritize-and-execute-scorm12-t3uuyi2b;CLT-06;CLT;SKILLS;Working;A
SK-036;Delegation & Empowerment;chapter-8-leadership-law-3-prioritize-and-execute-scorm12-t3uuyi2b;CLT-06;CLT;SKILLS;Working;A
SK-037;Empowering Teams;chapter-8-leadership-law-3-prioritize-and-execute-scorm12-t3uuyi2b;CLT-06;CLT;SKILLS;Learning;B
SK-112;Building Relationships;chapter-8-leadership-law-3-prioritize-and-execute-scorm12-t3uuyi2b;CLT-06;CLT;SKILLS;Learning;B
SK-011;Leadership;chapter-9-leadership-law-4-decentralize-command-scorm12-k-7vhy3i;CLT-07;CLT;SKILLS;Working;A
SK-005;Culture;chapter-9-leadership-law-4-decentralize-command-scorm12-k-7vhy3i;CLT-07;CLT;SKILLS;Working;A
SK-008;Accountability;chapter-9-leadership-law-4-decentralize-command-scorm12-k-7vhy3i;CLT-07;CLT;SKILLS;Learning;B
SK-009;Accountability in Leadership;chapter-9-leadership-law-4-decentralize-command-scorm12-k-7vhy3i;CLT-07;CLT;SKILLS;Learning;B
SK-031;Strategic Thinking;chapter-9-leadership-law-4-decentralize-command-scorm12-k-7vhy3i;CLT-07;CLT;SKILLS;Learning;B
SK-011;Leadership;critical-leadership-training-scorm12-cgy5ZMn8;CLT-08;CLT;SKILLS;Working;A
SK-008;Accountability;critical-leadership-training-scorm12-cgy5ZMn8;CLT-08;CLT;SKILLS;Working;A
SK-009;Accountability in Leadership;critical-leadership-training-scorm12-cgy5ZMn8;CLT-08;CLT;SKILLS;Learning;B
SK-010;Extreme Ownership;critical-leadership-training-scorm12-cgy5ZMn8;CLT-08;CLT;SKILLS;Learning;B
SK-037;Empowering Teams;critical-leadership-training-scorm12-cgy5ZMn8;CLT-08;CLT;SKILLS;Learning;B
SK-011;Leadership;leadership-decision-making-under-pressure-scorm12-AIhn49zc;CLT-09;CLT;SKILLS;Working;C
SK-011;Leadership;leadership-law-2-keep-it-simple-scorm12-dsimqrvx;CLT-10;CLT;SKILLS;Working;A
SK-030;Project Planning & Execution;leadership-law-2-keep-it-simple-scorm12-dsimqrvx;CLT-10;CLT;SKILLS;Working;A
SK-037;Empowering Teams;leadership-law-2-keep-it-simple-scorm12-dsimqrvx;CLT-10;CLT;SKILLS;Learning;B
SK-099;Communication;leadership-law-2-keep-it-simple-scorm12-dsimqrvx;CLT-10;CLT;SKILLS;Learning;B
SK-099;Communication;chapter-8-introduction-to-effective-communication-scorm12-k6p_uqpq;COMM-00;COMM;SKILLS;Working;A
SK-100;Effective Communication;chapter-8-introduction-to-effective-communication-scorm12-k6p_uqpq;COMM-00;COMM;SKILLS;Working;A
SK-011;Leadership;chapter-8-introduction-to-effective-communication-scorm12-k6p_uqpq;COMM-00;COMM;SKILLS;Learning;B
SK-016;Field Leadership;chapter-8-introduction-to-effective-communication-scorm12-k6p_uqpq;COMM-00;COMM;SKILLS;Learning;B
SK-034;Team Morale;chapter-8-introduction-to-effective-communication-scorm12-k6p_uqpq;COMM-00;COMM;SKILLS;Learning;B
SK-057;Confined Space Program;permit-required-confined-spaces-scorm12-Cq6_VtQw;CS-00;CS;SKILLS;Working;B
SK-081;Regulatory Inspections;permit-required-confined-spaces-scorm12-Cq6_VtQw;CS-00;CS;SKILLS;Working;B
SK-058;Hazardous Atmosphere Recognition;permit-required-confined-spaces-scorm12-Cq6_VtQw;CS-00;CS;SKILLS;Learning;B
SK-083;Safety;permit-required-confined-spaces-scorm12-Cq6_VtQw;CS-00;CS;SKILLS;Learning;B
SK-109;Self-Regulation;boosting-self-regulation-scorm12-dmovz3bh;EQ-00;EQ;SKILLS;Working;A
SK-006;Values Alignment;boosting-self-regulation-scorm12-dmovz3bh;EQ-00;EQ;SKILLS;Working;A
SK-106;EQ Leadership;boosting-self-regulation-scorm12-dmovz3bh;EQ-00;EQ;SKILLS;Learning;B
SK-107;Emotional Intelligence (EQ);boosting-self-regulation-scorm12-dmovz3bh;EQ-00;EQ;SKILLS;Learning;B
SK-107;Emotional Intelligence (EQ);chapter-01-what-is-emotional-intelligence-eq-scorm12-byirin-l;EQ-01;EQ;SKILLS;Working;A
SK-011;Leadership;chapter-01-what-is-emotional-intelligence-eq-scorm12-byirin-l;EQ-01;EQ;SKILLS;Working;A
SK-079;Personal Safety;chapter-01-what-is-emotional-intelligence-eq-scorm12-byirin-l;EQ-01;EQ;SKILLS;Learning;B
SK-110;Social Skills;chapter-6-enhancing-your-social-skills-scorm12-idczjurm;EQ-02;EQ;SKILLS;Working;A
SK-011;Leadership;chapter-6-enhancing-your-social-skills-scorm12-idczjurm;EQ-02;EQ;SKILLS;Working;A
SK-014;Self-Awareness;chapter-6-enhancing-your-social-skills-scorm12-idczjurm;EQ-02;EQ;SKILLS;Learning;B
SK-023;Employee Motivation;chapter-6-enhancing-your-social-skills-scorm12-idczjurm;EQ-02;EQ;SKILLS;Learning;B
SK-079;Personal Safety;chapter-6-enhancing-your-social-skills-scorm12-idczjurm;EQ-02;EQ;SKILLS;Learning;B
SK-108;Empathy;developing-empathy-scorm12-vhcmzfyl;EQ-03;EQ;SKILLS;Working;B
SK-106;EQ Leadership;developing-empathy-scorm12-vhcmzfyl;EQ-03;EQ;SKILLS;Working;B
SK-107;Emotional Intelligence (EQ);developing-empathy-scorm12-vhcmzfyl;EQ-03;EQ;SKILLS;Learning;B
SK-110;Social Skills;enhancing-social-skills-scorm12-prqpfyxi;EQ-04;EQ;SKILLS;Working;A
SK-106;EQ Leadership;enhancing-social-skills-scorm12-prqpfyxi;EQ-04;EQ;SKILLS;Working;A
SK-107;Emotional Intelligence (EQ);enhancing-social-skills-scorm12-prqpfyxi;EQ-04;EQ;SKILLS;Learning;B
SK-112;Building Relationships;enhancing-social-skills-scorm12-prqpfyxi;EQ-04;EQ;SKILLS;Learning;B
SK-014;Self-Awareness;improving-self-awareness-scorm12-nv0knu1a;EQ-05;EQ;SKILLS;Working;A
SK-106;EQ Leadership;improving-self-awareness-scorm12-nv0knu1a;EQ-05;EQ;SKILLS;Working;A
SK-107;Emotional Intelligence (EQ);improving-self-awareness-scorm12-nv0knu1a;EQ-05;EQ;SKILLS;Learning;B
SK-112;Building Relationships;improving-self-awareness-scorm12-nv0knu1a;EQ-05;EQ;SKILLS;Learning;B
SK-106;EQ Leadership;leading-with-emotional-intelligence-scorm12-ebhECLuM;EQ-06;EQ;SKILLS;Working;A
SK-107;Emotional Intelligence (EQ);leading-with-emotional-intelligence-scorm12-ebhECLuM;EQ-06;EQ;SKILLS;Working;A
SK-079;Personal Safety;leading-with-emotional-intelligence-scorm12-ebhECLuM;EQ-06;EQ;SKILLS;Learning;B
SK-107;Emotional Intelligence (EQ);what-is-emotional-intelligence-scorm12-2b6hr7hq;EQ-07;EQ;SKILLS;Working;A
SK-106;EQ Leadership;what-is-emotional-intelligence-scorm12-2b6hr7hq;EQ-07;EQ;SKILLS;Working;A
SK-112;Building Relationships;what-is-emotional-intelligence-scorm12-2b6hr7hq;EQ-07;EQ;SKILLS;Learning;B
SK-060;Arc Flash Awareness;arc-flash-personal-protective-equipment-ppe-scorm12-4M7f_E64;ES-01;ES;SKILLS;Working;C
SK-079;Personal Safety;arc-flash-personal-protective-equipment-ppe-scorm12-4M7f_E64;ES-01;ES;SKILLS;Working;C
SK-061;Arc Flash Risk Assessment;electrical-shock-arc-flash-risk-assessments-safety-related-work-practices-scorm12-2z6u87fa;ES-02;ES;SKILLS;Working;C
SK-060;Arc Flash Awareness;electrical-shock-arc-flash-risk-assessments-safety-related-work-practices-scorm12-2z6u87fa;ES-02;ES;SKILLS;Working;C
SK-083;Safety;electrical-shock-arc-flash-risk-assessments-safety-related-work-practices-scorm12-2z6u87fa;ES-02;ES;SKILLS;Learning;C
SK-068;Energized Work Practices;5c12a5da-7dc6-4649-84de-f3637bde375d;ES-03;ES;SKILLS;Working;C
SK-068;Energized Work Practices;required-precautions-practices-energized-work-scorm12-pfsg-qmp;ES-04;ES;SKILLS;Working;C
SK-066;Electrical Work Safety;safe-electrical-work-practices-and-the-2024-nfpa-70-e-for-electrical-workers-scorm12-o1fsru32;ES-06;ES;SKILLS;Working;B
SK-063;Electrical Hazard Recognition;safe-electrical-work-practices-and-the-2024-nfpa-70-e-for-electrical-workers-scorm12-o1fsru32;ES-06;ES;SKILLS;Working;B
SK-065;Electrical Safety Fundamentals;safe-electrical-work-practices-and-the-2024-nfpa-70-e-for-electrical-workers-scorm12-o1fsru32;ES-06;ES;SKILLS;Learning;B
SK-083;Safety;safe-electrical-work-practices-and-the-2024-nfpa-70-e-for-electrical-workers-scorm12-o1fsru32;ES-06;ES;SKILLS;Learning;B
SK-074;Fall Hazard Recognition;fall-protection-in-industrial-and-construction-environments-scorm12-HtvRelsq;FP-00;FP;SKILLS;Working;B
SK-081;Regulatory Inspections;fall-protection-in-industrial-and-construction-environments-scorm12-HtvRelsq;FP-00;FP;SKILLS;Working;B
SK-074;Fall Hazard Recognition;fall-protection-in-industrial-and-construction-environments-edges-openings-and-guarding-scorm12-ulhh_oba;FP-01;FP;SKILLS;Working;B
SK-023;Employee Motivation;fall-protection-in-industrial-and-construction-environments-edges-openings-and-guarding-scorm12-ulhh_oba;FP-01;FP;SKILLS;Working;B
SK-083;Safety;preventing-slips-trips-and-falls-scorm12-m2jqe-uu;FP-02;FP;SKILLS;Working;B
SK-099;Communication;preventing-slips-trips-and-falls-scorm12-m2jqe-uu;FP-02;FP;SKILLS;Working;B
SK-077;Scaffold Fundamentals;safely-accessing-a-scaffold-scorm12-znfwpgv9;FP-03;FP;SKILLS;Working;B
SK-075;Ladder Safety;safely-accessing-a-scaffold-scorm12-znfwpgv9;FP-03;FP;SKILLS;Working;B
SK-076;Personal Fall Arrest Systems;safely-accessing-a-scaffold-scorm12-znfwpgv9;FP-03;FP;SKILLS;Learning;B
SK-083;Safety;safely-accessing-a-scaffold-scorm12-znfwpgv9;FP-03;FP;SKILLS;Learning;B
SK-077;Scaffold Fundamentals;supported-scaffolding-safety-in-industrial-and-construction-environments-scorm12-sy389sg8;FP-04;FP;SKILLS;Working;B
SK-083;Safety;supported-scaffolding-safety-in-industrial-and-construction-environments-scorm12-sy389sg8;FP-04;FP;SKILLS;Working;B
SK-081;Regulatory Inspections;0fed7f77-3b20-43df-90c2-6c28b3ca4a5f;FP-05;FP;SKILLS;Working;B
SK-077;Scaffold Fundamentals;0fed7f77-3b20-43df-90c2-6c28b3ca4a5f;FP-05;FP;SKILLS;Working;B
SK-054;Quality Control;0fed7f77-3b20-43df-90c2-6c28b3ca4a5f;FP-05;FP;SKILLS;Learning;B
SK-066;Electrical Work Safety;0fed7f77-3b20-43df-90c2-6c28b3ca4a5f;FP-05;FP;SKILLS;Learning;B
SK-083;Safety;0fed7f77-3b20-43df-90c2-6c28b3ca4a5f;FP-05;FP;SKILLS;Learning;B
SK-075;Ladder Safety;using-portable-and-fixed-ladders-scorm12-du3gq40l;FP-06;FP;SKILLS;Working;B
SK-054;Quality Control;using-portable-and-fixed-ladders-scorm12-du3gq40l;FP-06;FP;SKILLS;Working;B
SK-081;Regulatory Inspections;using-portable-and-fixed-ladders-scorm12-du3gq40l;FP-06;FP;SKILLS;Learning;B
SK-083;Safety;using-portable-and-fixed-ladders-scorm12-du3gq40l;FP-06;FP;SKILLS;Learning;B
SK-077;Scaffold Fundamentals;working-safely-on-scaffolding-scorm12-0txrzw9l;FP-07;FP;SKILLS;Working;B
SK-054;Quality Control;working-safely-on-scaffolding-scorm12-0txrzw9l;FP-07;FP;SKILLS;Working;B
SK-076;Personal Fall Arrest Systems;working-safely-on-scaffolding-scorm12-0txrzw9l;FP-07;FP;SKILLS;Learning;B
SK-079;Personal Safety;working-safely-on-scaffolding-scorm12-0txrzw9l;FP-07;FP;SKILLS;Learning;B
SK-081;Regulatory Inspections;working-safely-on-scaffolding-scorm12-0txrzw9l;FP-07;FP;SKILLS;Learning;B
SK-018;Foreman Role & Responsibilities;roles-and-responsibilities-of-a-foreman-scorm12-fuwrpeep;FTM-00;FTM;SKILLS;Working;B
SK-011;Leadership;roles-and-responsibilities-of-a-foreman-scorm12-fuwrpeep;FTM-00;FTM;SKILLS;Working;B
SK-016;Field Leadership;roles-and-responsibilities-of-a-foreman-scorm12-fuwrpeep;FTM-00;FTM;SKILLS;Learning;B
SK-030;Project Planning & Execution;roles-and-responsibilities-of-a-foreman-scorm12-fuwrpeep;FTM-00;FTM;SKILLS;Learning;B
SK-079;Personal Safety;roles-and-responsibilities-of-a-foreman-scorm12-fuwrpeep;FTM-00;FTM;SKILLS;Learning;B
SK-090;HazCom Program Fundamentals;hazard-communication-scorm12-hced66vt;HAZCOM-00;HAZCOM;SKILLS;Working;B
SK-099;Communication;hazard-communication-scorm12-hced66vt;HAZCOM-00;HAZCOM;SKILLS;Working;B
SK-081;Regulatory Inspections;hazard-communication-scorm12-hced66vt;HAZCOM-00;HAZCOM;SKILLS;Learning;B
SK-083;Safety;hazard-communication-scorm12-hced66vt;HAZCOM-00;HAZCOM;SKILLS;Learning;B
SK-089;Container Label Use;information-found-on-container-labels-scorm12-alpiibee;HAZCOM-01;HAZCOM;SKILLS;Working;B
SK-083;Safety;information-found-on-container-labels-scorm12-alpiibee;HAZCOM-01;HAZCOM;SKILLS;Working;B
SK-092;SDS Use & Access;safety-data-sheets-scorm12-ax_uklcf;HAZCOM-02;HAZCOM;SKILLS;Working;B
SK-083;Safety;safety-data-sheets-scorm12-ax_uklcf;HAZCOM-02;HAZCOM;SKILLS;Working;B
SK-013;Leading with Purpose;safety-data-sheets-scorm12-ax_uklcf;HAZCOM-02;HAZCOM;SKILLS;Learning;B
SK-081;Regulatory Inspections;safety-data-sheets-scorm12-ax_uklcf;HAZCOM-02;HAZCOM;SKILLS;Learning;B
SK-088;Chemical Hazard Identification;safety-data-sheets-scorm12-ax_uklcf;HAZCOM-02;HAZCOM;SKILLS;Learning;B
SK-090;HazCom Program Fundamentals;the-written-hazard-communication-plan-scorm12-ftnpzu8g;HAZCOM-03;HAZCOM;SKILLS;Working;B
SK-099;Communication;the-written-hazard-communication-plan-scorm12-ftnpzu8g;HAZCOM-03;HAZCOM;SKILLS;Working;B
SK-024;Employee Recognition;the-written-hazard-communication-plan-scorm12-ftnpzu8g;HAZCOM-03;HAZCOM;SKILLS;Learning;B
SK-083;Safety;the-written-hazard-communication-plan-scorm12-ftnpzu8g;HAZCOM-03;HAZCOM;SKILLS;Learning;B
SK-089;Container Label Use;the-written-hazard-communication-plan-scorm12-ftnpzu8g;HAZCOM-03;HAZCOM;SKILLS;Learning;B
SK-088;Chemical Hazard Identification;types-of-chemical-hazards-scorm12-kwgkls-t;HAZCOM-04;HAZCOM;SKILLS;Working;B
SK-083;Safety;types-of-chemical-hazards-scorm12-kwgkls-t;HAZCOM-04;HAZCOM;SKILLS;Working;B
SK-011;Leadership;avoiding-common-time-wasters-introduction-to-field-leadership-section-1-scorm12-_pz4ofaz;IFL-00;IFL;SKILLS;Working;A
SK-016;Field Leadership;avoiding-common-time-wasters-introduction-to-field-leadership-section-1-scorm12-_pz4ofaz;IFL-00;IFL;SKILLS;Working;A
SK-050;Eight Wastes Recognition;avoiding-common-time-wasters-introduction-to-field-leadership-section-1-scorm12-_pz4ofaz;IFL-00;IFL;SKILLS;Learning;B
SK-011;Leadership;building-and-maintaining-team-morale-introduction-to-field-leadership-section-1-scorm12-qbritjmd;IFL-01;IFL;SKILLS;Working;A
SK-034;Team Morale;building-and-maintaining-team-morale-introduction-to-field-leadership-section-1-scorm12-qbritjmd;IFL-01;IFL;SKILLS;Working;A
SK-016;Field Leadership;building-and-maintaining-team-morale-introduction-to-field-leadership-section-1-scorm12-qbritjmd;IFL-01;IFL;SKILLS;Learning;B
SK-023;Employee Motivation;building-and-maintaining-team-morale-introduction-to-field-leadership-section-1-scorm12-qbritjmd;IFL-01;IFL;SKILLS;Learning;B
SK-117;Creating Job Plans;chapter-1-job-plan-theory-scorm12-lhuuftlp;IFL-02;IFL;SKILLS;Working;A
SK-011;Leadership;chapter-1-job-plan-theory-scorm12-lhuuftlp;IFL-02;IFL;SKILLS;Working;A
SK-013;Leading with Purpose;chapter-1-job-plan-theory-scorm12-lhuuftlp;IFL-02;IFL;SKILLS;Learning;B
SK-016;Field Leadership;chapter-1-job-plan-theory-scorm12-lhuuftlp;IFL-02;IFL;SKILLS;Learning;B
SK-019;Conducting Evaluations;chapter-1-job-plan-theory-scorm12-lhuuftlp;IFL-02;IFL;SKILLS;Learning;B
SK-050;Eight Wastes Recognition;chapter-10-avoiding-common-time-wasters-scorm12-rakckav4;IFL-03;IFL;SKILLS;Working;A
SK-011;Leadership;chapter-10-avoiding-common-time-wasters-scorm12-rakckav4;IFL-03;IFL;SKILLS;Working;A
SK-016;Field Leadership;chapter-10-avoiding-common-time-wasters-scorm12-rakckav4;IFL-03;IFL;SKILLS;Learning;B
SK-011;Leadership;chapter-12-using-tool-and-technology-scorm12-jzhv6nfe;IFL-04;IFL;SKILLS;Working;B
SK-016;Field Leadership;chapter-12-using-tool-and-technology-scorm12-jzhv6nfe;IFL-04;IFL;SKILLS;Working;B
SK-030;Project Planning & Execution;chapter-12-using-tool-and-technology-scorm12-jzhv6nfe;IFL-04;IFL;SKILLS;Learning;B
SK-041;Focus on Flow;chapter-12-using-tool-and-technology-scorm12-jzhv6nfe;IFL-04;IFL;SKILLS;Learning;B
SK-083;Safety;chapter-12-using-tool-and-technology-scorm12-jzhv6nfe;IFL-04;IFL;SKILLS;Learning;B
SK-028;Planning & Scheduling;chapter-2-jobsite-efficiency-scorm12-gtwzkr7z;IFL-05;IFL;SKILLS;Working;A
SK-041;Focus on Flow;chapter-2-jobsite-efficiency-scorm12-gtwzkr7z;IFL-05;IFL;SKILLS;Working;A
SK-050;Eight Wastes Recognition;chapter-2-jobsite-efficiency-scorm12-gtwzkr7z;IFL-05;IFL;SKILLS;Learning;B
SK-028;Planning & Scheduling;chapter-3-coordinating-with-other-trades-scorm12-e-hl3uzr;IFL-06;IFL;SKILLS;Working;B
SK-030;Project Planning & Execution;chapter-3-coordinating-with-other-trades-scorm12-e-hl3uzr;IFL-06;IFL;SKILLS;Working;B
SK-099;Communication;chapter-3-coordinating-with-other-trades-scorm12-e-hl3uzr;IFL-06;IFL;SKILLS;Learning;B
SK-011;Leadership;chapter-3-new-manager-101-scorm12-yduvl08s;IFL-07;IFL;SKILLS;Working;A
SK-034;Team Morale;chapter-3-new-manager-101-scorm12-yduvl08s;IFL-07;IFL;SKILLS;Working;A
SK-037;Empowering Teams;chapter-3-new-manager-101-scorm12-yduvl08s;IFL-07;IFL;SKILLS;Learning;B
SK-099;Communication;chapter-3-new-manager-101-scorm12-yduvl08s;IFL-07;IFL;SKILLS;Learning;B
SK-112;Building Relationships;chapter-3-new-manager-101-scorm12-yduvl08s;IFL-07;IFL;SKILLS;Learning;B
SK-030;Project Planning & Execution;chapter-3-introduction-to-project-planning-and-execution-scorm12-7wuf3mox;IFL-08;IFL;SKILLS;Working;A
SK-028;Planning & Scheduling;chapter-3-introduction-to-project-planning-and-execution-scorm12-7wuf3mox;IFL-08;IFL;SKILLS;Working;A
SK-029;Project Planning;chapter-3-introduction-to-project-planning-and-execution-scorm12-7wuf3mox;IFL-08;IFL;SKILLS;Learning;B
SK-011;Leadership;chapter-3-introduction-to-project-planning-and-execution-scorm12-7wuf3mox;IFL-08;IFL;SKILLS;Learning;B
SK-016;Field Leadership;chapter-3-introduction-to-project-planning-and-execution-scorm12-7wuf3mox;IFL-08;IFL;SKILLS;Learning;B
SK-011;Leadership;chapter-4-building-an-effective-team-scorm12-lurfzpkv;IFL-09;IFL;SKILLS;Working;A
SK-008;Accountability;chapter-4-building-an-effective-team-scorm12-lurfzpkv;IFL-09;IFL;SKILLS;Working;A
SK-009;Accountability in Leadership;chapter-4-building-an-effective-team-scorm12-lurfzpkv;IFL-09;IFL;SKILLS;Learning;B
SK-014;Self-Awareness;chapter-4-building-an-effective-team-scorm12-lurfzpkv;IFL-09;IFL;SKILLS;Learning;B
SK-021;Corrective Counseling;chapter-4-building-an-effective-team-scorm12-lurfzpkv;IFL-09;IFL;SKILLS;Learning;B
SK-053;Documentation Practices;chapter-4-document-management-scorm12-tyrhbk9m;IFL-10;IFL;SKILLS;Working;A
SK-018;Foreman Role & Responsibilities;chapter-4-document-management-scorm12-tyrhbk9m;IFL-10;IFL;SKILLS;Working;A
SK-052;Documentation & Reporting;chapter-4-document-management-scorm12-tyrhbk9m;IFL-10;IFL;SKILLS;Learning;B
SK-117;Creating Job Plans;chapter-4-document-management-scorm12-tyrhbk9m;IFL-10;IFL;SKILLS;Learning;B
SK-083;Safety;chapter-4-introduction-to-safety-management-scorm12-jkruifsj;IFL-11;IFL;SKILLS;Working;A
