Catalog,CourseId,Title,Description,LongDescription,Categories,Tags,Skills
GSL Academy,456488bc-2c46-4f15-a1b4-1bd0a1972c11,"Field Leadership – Skills, Traits, & Responsibilities - 11 Building and Maintaining Team Morale",Understand how team morale impacts productivity and learn techniques for recognizing achievements and fostering open communication.,"<p>Covers the relationship between team morale and productivity, emphasizing effective leadership, recognition, and open communication.</p>",,Goals; Communication; Conflict Resolution; Prioritize; Recognition,
GSL Academy,4e57cdd6-f893-4c09-86bb-1efd94ec652b,"What is ""LEAN""","Comprehensive introduction to lean philosophy -- history, definitions, culture, principles, and waste identification for the construction industry.","<p>Thirteen-lesson standalone course covering lean history (from Ford/Taylor through Toyota to LCI), definitions and benefits (safer work, effective completion, higher productivity, better collaboration), lean culture (mindsets, behaviors, collaboration), and core lean principles. Includes quizzes throughout.</p>",,,
GSL Academy,c4c163b5-ef5d-4db9-b741-20b487099657,Qualified Person Training ,"This instructor-led course teaches employees how to recognize electrical hazards, assess risk, and apply safe work practices in accordance with OSHA, MSHA, and NFPA 70E. Participants will gain the knowledge and skills required to be designated as a Qualified Person under GSL Electric’s Electrical Safety Program.","<h3 data-end=""329"" data-start=""277""><strong data-end=""327"" data-start=""281"">Qualified Person Training (Instructor-Led)</strong></h3>
<p data-end=""816"" data-start=""331"">The <strong data-end=""364"" data-start=""335"">Qualified Person Training</strong> course is an instructor-led program designed to prepare GSL Electric employees to safely perform electrical work on or near energized equipment in accordance with <strong data-end=""558"" data-start=""528"">OSHA 29 CFR 1926 Subpart K</strong>, <strong data-end=""588"" data-start=""560"">MSHA §56.12001–§56.12071</strong>, and the <strong data-end=""658"" data-start=""598"">NFPA 70E Standard for Electrical Safety in the Workplace</strong>. This training fulfills GSL Electric’s requirements for designating employees as <em data-end=""759"" data-start=""740"">Qualified Persons</em> as defined in the company’s Electrical Safety Program.</p>
<p data-end=""1241"" data-start=""818"">Through classroom instruction, demonstrations, and discussion, participants will gain a deep understanding of electrical hazards—including <strong data-end=""998"" data-start=""957"">shock, arc flash, and arc blast risks</strong>—and learn the essential practices and procedures to mitigate them. The training emphasizes safe work practices, hazard identification, and compliance with the hierarchy of risk control methods to reduce potential injury or damage to health.</p>
<p data-end=""1270"" data-start=""1243"">Participants will learn to:</p>
<ul data-end=""2107"" data-start=""1271"">
<li data-end=""1380"" data-start=""1271"">
<p data-end=""1380"" data-start=""1273"">Identify exposed energized electrical conductors and circuit parts and determine nominal system voltages.</p>
</li>
<li data-end=""1490"" data-start=""1381"">
<p data-end=""1490"" data-start=""1383"">Establish and maintain <strong data-end=""1417"" data-start=""1406"">Limited</strong>, <strong data-end=""1433"" data-start=""1419"">Restricted</strong>, and <strong data-end=""1463"" data-start=""1439"">Arc Flash Boundaries</strong> as required by NFPA 70E.</p>
</li>
<li data-end=""1636"" data-start=""1491"">
<p data-end=""1636"" data-start=""1493"">Select and properly use personal protective equipment (PPE), insulated tools, and testing instruments rated for the voltage and energy level.</p>
</li>
<li data-end=""1763"" data-start=""1637"">
<p data-end=""1763"" data-start=""1639"">Perform <strong data-end=""1667"" data-start=""1647"">electrical shock</strong> and <strong data-end=""1702"" data-start=""1672"">arc flash risk assessments</strong>, including required documentation and job safety planning.</p>
</li>
<li data-end=""1942"" data-start=""1764"">
<p data-end=""1942"" data-start=""1766"">Understand and apply the procedures for <strong data-end=""1835"" data-start=""1806"">energized electrical work</strong>, including the <strong data-end=""1876"" data-start=""1851"">Energized Work Permit</strong> process, pre-task assessments, and lockout/tagout verification.</p>
</li>
<li data-end=""2107"" data-start=""1943"">
<p data-end=""2107"" data-start=""1945"">Coordinate with Isolation Officers, Foremen, and the Safety Department to ensure work is performed in an <strong data-end=""2086"" data-start=""2050"">electrically safe work condition</strong> whenever possible.</p>
</li>
</ul>
<p data-end=""2439"" data-start=""2109"">The course also covers the responsibilities of Qualified and Authorized Persons, including decision-making authority, risk evaluation, and communication with host employers during energized work tasks. Participants will review incident response procedures and methods for emergency release in the event of an electrical contact.</p>
<p data-end=""2786"" data-start=""2441"">Upon successful completion, employees will demonstrate the knowledge, skills, and decision-making ability necessary to meet GSL Electric’s definition of a <strong data-end=""2616"" data-start=""2596"">Qualified Person</strong>. Training completion will be documented by the Safety Department and maintained in the employee’s training record in accordance with NFPA 70E 110.4 and company policy.</p>",,Risk Assessment; Planning; Hazardous Energy; Hazards; Safety,
GSL Academy,bfb39a4e-229d-4c60-932b-21898f83cecc,Introduction to Lean Construction - Chapter 11 - Minimizing Waste at a Project Level ,Learn practical strategies and technologies for minimizing material waste and rework at the project level in lean construction.,"<p>Covers project-level approaches to waste minimization, including laser scanning, BIM, digital drawings, and real-time communication tools. Explores how these technologies reduce material waste, rework, and delays.</p>",Waste Management; Lean Fundamentals,Workflow; Material Efficiency,
GSL Academy,80dde984-d78c-4778-ba89-22774bfe9b36,"Field Leadership - Skills, Traits, & Responsibilities - 05 Introduction to Quality Control","Learn the essentials of quality control in construction, including establishing standards, conducting inspections, and implementing corrective actions.","<p>Introduces quality control fundamentals for construction foremen, covering quality standards for materials and methods, regular inspections, documentation practices, and corrective actions including worker retraining. True/false assessments.</p>",,Action; Quality Control; Documentation,
GSL Academy,72c493dc-30e5-4934-bbe6-2378d98205d6,Values Driven Leadership -  06 Read Your People,"Learn to know your audience, tailor your message, and use inclusivity, storytelling, and visual aids to communicate effectively.","<p>Teaches leaders to adapt their communication to diverse audiences using inclusive language, visual aids, and storytelling. Interactive true/false exercises on tailoring messages, adapting tone, and engaging audiences effectively.</p>",Respect For People,Mentor; Coaching; Field Leadership; Team Morale; Leadership; Team Leadership; Mentorship,
GSL Academy,a37300f0-a297-42ae-9ac1-24e496542591,Building Resilience and Emotional Intelligence,"Welcome to Building Resilience and Emotional Intelligence, an engaging and practical eLearning module designed to empower you with the skills to thrive in today’s dynamic workplace.In this short but impactful course, you’ll explore how to build resilience to manage stress effectively, adapt to change with confidence, and enhance emotional intelligence to foster positive workplace relationships. By the end of the module, you’ll be equipped with actionable strategies to improve workplace dynamics and support your personal and professional growth.This module is your first step toward developing key capabilities that make a real difference in navigating the challenges of modern work life.","<p>Welcome to <em>Building Resilience and Emotional Intelligence</em>, an engaging and practical eLearning module designed to empower you with the skills to thrive in today’s dynamic workplace.</p><p>In this short but impactful course, you’ll explore how to build resilience to manage stress effectively, adapt to change with confidence, and enhance emotional intelligence to foster positive workplace relationships. By the end of the module, you’ll be equipped with actionable strategies to improve workplace dynamics and support your personal and professional growth.</p><p>This module is your first step toward developing key capabilities that make a real difference in navigating the challenges of modern work life.</p>",,Emotional Intelligence; Adapt to change; Managing stress; Workplace dynamics; Self Awareness; Empathy; Resilience,
GSL Academy,f0021fac-b374-42c4-9181-25fd46275da0,Field Leaderaship - Leadership - Leadership Essentials,"Learn the definition of leadership, essential skills and traits, leadership styles, and the importance of leading by example.","<p>Covers leadership definition, key skills (communication, delegation), traits (accountability), leadership styles, and leading by example. Five quiz questions.</p>",,Communication; Field Leadership; Team Morale; Leadership; Team Leadership,
GSL Academy,2dee4ad6-e26b-44da-a8e9-279e7c82a2d4,Leadership & Decision-Making Under Pressure,"Learn directly from former SEALs who’ve led teams in the world’s toughest conditions.
Learn systems for delegation, planning, and communication that scale with increasing responsibility
Use proven principles to lead with presence and increase decision-making confidence.
Demonstrate strategic leadership with a 90-day blueprint employers will recognize and value..
","<p style=""margin: 0in 0in 8pt; line-height: 115%; font-size: 12pt; font-family: Aptos, sans-serif;"">Do you lead teams? Drive strategy? Make high-stakes decisions? This course is for you.</p>
<p style=""margin: 0in 0in 8pt; line-height: 115%; font-size: 12pt; font-family: Aptos, sans-serif;"">Earn a Leadership Certificate in elite leadership, taught by five decorated military leaders, including a vice admiral, rear admiral, NASA astronaut, and Congressional Medal of Honor recipient. In just 15–20 hours, you’ll learn leadership and decision-making principles used by one of the most elite military units in the United States.</p>
<p style=""margin: 0in 0in 8pt; line-height: 115%; font-size: 12pt; font-family: Aptos, sans-serif;"">Discover how to inspire teams, drive execution, and scale results even under pressure. Build your personalized 90-day action plan and be ready to lead with clarity, build trust quickly, and make the right call when it counts. No prerequisites required.</p>
<p><scribe-shadow id=""crxjs-ext"" data-crx=""okfkdaglfjjjfefdcppliegebpoegaii"" style=""position: fixed; width: 0px; height: 0px; top: 0px; left: 0px; z-index: 2147483647; overflow: visible; visibility: visible;""></scribe-shadow></p>",,Executive Presence; Organizational Alignment; Delegation; Decision-Making; Effective Planning; Crisis Management; Leadership Communication; Stakeholder Engagement; Team Building; Risk Management; Strategic Leadership; Adaptability,
GSL Academy,3c75d35b-2cad-438e-8d2b-27fd234aa39c,Creating a Coaching Culture (CPD certified),"Think you’ve got what it takes to be a coach? Well, we agree. In business, creating a coaching culture can a huge boost to your workforce. Think about it; if you instil the desire to coach others into your employees, what happens? Well, they’ll all want to help each other, which means they all upskill, and your company reaps the benefits. Your staff will gain confidence and will likely feel a sense of worth and motivation, which means… you guessed it; we’re ALL winners! Target AudienceGeneral Audience / All Levels Business OutcomesWith the knowledge from this short course, you can help grow and nurture the talent at your disposal. Only then can you develop effective coaching strategies and cultivate a strong workforce.","<p>Think you’ve got what it takes to be a coach? Well, we agree. In business, creating a coaching culture can a huge boost to your workforce. Think about it; if you instil the desire to coach others into your employees, what happens? Well, they’ll all want to help each other, which means they all upskill, and your company reaps the benefits. Your staff will gain confidence and will likely feel a sense of worth and motivation, which means… you guessed it; we’re ALL winners!</p><p> </p><p><strong>Target Audience</strong></p><p>General Audience / All Levels</p><p> </p><p><strong>Business Outcomes</strong></p><p>With the knowledge from this short course, you can help grow and nurture the talent at your disposal. Only then can you develop effective coaching strategies and cultivate a strong workforce.</p>",,CPD certified; Business Skills,
GSL Academy,8992008d-f085-4fbb-b768-282553e1723c,Qualified Person - Required Precautions and Practices / Testing & Troubleshooting ,"Learn the required precautions, PPE minimums, and emergency staging procedures for testing and troubleshooting energized equipment.","<p>Covers precautions specific to testing/troubleshooting energized equipment: incident energy label interpretation, minimum PPE arc ratings, and emergency response equipment. Knowledge checks.</p>",,Qualified Person; Safety Culture; NFPA 70E; Electrical Safety; Arc Flash; Safety,
GSL Academy,5fa6b228-2e2b-476c-8dd4-29d31364bcdd,Leading With Emotional Intelligence - 06 Enhancing Your Social Skills,"From the course ""Leading With Emotional Intelligence ""
What defines an outstanding leader? At first glance, top-performing leaders appear to be masters of all traits. They know how to communicate expertly with others and maintain positive relationships. They’re adept at navigating through the shaky waters of conflict and change. And they’re skilled at persuading others to action, boosting employee cooperation and collaboration, and inspiring a team. ","<p data-pm-slice=""1 1 []"">From the course ""Leading With Emotional Intelligence ""</p>
<p data-pm-slice=""1 1 []"">This lesson highlighted the significance of social skills as a vital aspect of emotional intelligence for successful leadership. It introduced seven hallmarks that are key to fostering strong interpersonal relationships and team effectiveness. Here are some key takeaways:</p>
<ol>
<li>
<p><strong>Understand social skills</strong>. They are crucial for managing relationships and influencing emotions effectively.</p>
</li>
<li>
<p><strong>Practice effective communication</strong>. Share clear messages and listen actively to promote mutual understanding.</p>
</li>
<li>
<p><strong>Embrace collaboration</strong>. Define roles clearly and value individuality to strengthen teamwork.</p>
</li>
<li>
<p><strong>Manage conflicts constructively</strong>. Address emotional concerns first, then work towards cooperative solutions.</p>
</li>
</ol>
<p>By mastering these social skills, you can lead with greater empathy and effectiveness.</p>",,Emotional Intelligence; Social Skills,
GSL Academy,4d6ca71f-a5e4-4cec-8fcf-2ccce819a4a5,Permit-Required Confined Spaces,"Learn the requirements and roles for safe permit-required confined space entry including entry permits, atmospheric testing, and emergency procedures.","<p>Nine-lesson course: confined space characteristics, written entry permit, hazardous atmospheres, atmospheric testing, mechanical/engulfment hazards, and three key roles (entry supervisor, attendant, entrant). Video-based with 8-question quiz.</p>",,Reporting; Communication; Hazards; OSHA; Safety,
GSL Academy,209753da-7951-465d-baf4-2f1e4255b4b0,Field Leadership - Anatomy of a Project - 06 Job Closeout,"Learn the job closeout process including special projects team handoff, punch list management, as-built drawings, tool return, and performance evaluation.","<p>Covers job closeout: special projects team, punch lists, as-built drawings, tool/material return, and project performance evaluations. Matching knowledge check.</p>",,Documentation; Closeout,
GSL Academy,5fa74c39-600f-45c4-94c3-3012dfc4a59b,Field Leadership - Anatomy of a Project - 03 Coordinating with Other Trades,"Learn strategies for coordinating electrical work with general contractors, mechanical, plumbing, masonry, drywall, and painting trades.","<p>Covers practical aspects of coordinating with other trades on construction projects, including managing access priorities, communication with contractors, sequencing work, and establishing protection measures. True/false assessments.</p>",,Initiative; Relationships; Schedule; Responsibility; Communication; Planning; Solutions,
GSL Academy,05fc4d74-24fc-4013-9b09-3120faf2925b,Commitment to Safety : A Shared Responsibility-  New Hire Safety Orientation,Understand the shared responsibility of workplace safety and GSL Electric's commitment to minimizing safety risks for all new hires.,<p>Brief introductory course covering GSL Electric's commitment to safety as a shared responsibility. Includes video-based multimedia content. This is an abbreviated earlier version of the new hire orientation.</p>,,Safety,
GSL Academy,43f7215f-4416-489e-9ef9-31f2f4361c86,Safety Coordinator - 11.0 OSHA & MSHA Inspections,"Learn how to prepare for and respond to OSHA and MSHA inspections, including inspection priority categories.","<p>Covers inspection types, priority rankings, and response procedures: imminent danger, complaint inspections, referrals, and targeted inspections. Knowledge check.</p>",,Inspections; Planning; Safety Culture; Safety Coordinator; OSHA; Safety,
GSL Academy,452ad946-c3d1-49d9-a2c6-33c8eb360959,Ignite Collaborative Decision-Making for Better Outcomes,"Teams often struggle with slow, inefficient decision-making, leading to missed opportunities and wasted time. This course equips teams with fast, structured collaboration techniques to simplify decision-making, integrate diverse perspectives, and move forward with confidence. Speed up decision-making while increasing alignment and innovation.","<p>Teams often struggle with slow, inefficient decision-making, leading to missed opportunities and wasted time. This course equips teams with fast, structured collaboration techniques to simplify decision-making, integrate diverse perspectives, and move forward with confidence. Speed up decision-making while increasing alignment and innovation.</p>",,Decision Making; Teamwork; Meetings; Collaboration,
GSL Academy,d2383855-5e64-4094-90b6-3425f5dd2aa6,Critical Leadership Training - 09 Leadership Law 4:  Decentralize Command,"Learn the Decentralized Command leadership law, empowering team members with leadership responsibilities and freedom to execute within clear strategic goals.","<p>Covers Decentralized Command including providing clear SOPs, delivering effective briefings, and encouraging team input. Covers why autonomy is a stronger motivator than money. Five quiz questions.</p>",,Initiative; Communication; Extreme Ownership; Stratagy; Trust; Empower Your Team; Culture,
GSL Academy,d87d2551-818d-4490-8ff5-3655dbe5feaa,Values Driven Leadership -  03 Cultivate a Winning Team,"Learn to build trust, set standards, and create a team culture rooted in shared values and accountability.","<p>Covers developing trust through follow-through, transparency, active listening, and taking responsibility. Teaches how trust-eroding behaviors undermine teams and how consistent values alignment strengthens them. Includes knowledge checks on trust-building and defining leadership values.</p>",Respect For People,Mentor; Coaching; Field Leadership; Team Morale; Leadership; Team Leadership; Mentorship,
GSL Academy,6976a299-08b5-4f63-9a04-3768b5cdebe7,Introduction to Lean Construction - 12 - Empowerment of Field Personnel,"Learn how empowering field personnel enhances decision-making, reduces waste, and improves scheduling reliability in lean construction.","<p>Explores the benefits of empowering field workers in lean construction, contrasting traditional management approaches with lean approaches that emphasize collaboration and overall throughput.</p>",Lean Fundamentals; Respect For People,Field Empowerment; Team Collaboration,
GSL Academy,0790d51d-08e9-4b0e-9c67-3acd4a115401,MSHA 8-Hour Surface Mining Refresher & Experienced Miner Course,"This course meets Mine Safety and Health Administration (MSHA) Part 46 requirements for annual refresher training in surface mining. Participants review essential health and safety standards, hazard recognition, emergency procedures, and safe work practices to ensure compliance and maintain a safe mining environment.","<p data-end=""508"" data-start=""116"">This comprehensive training program is designed to meet the <strong data-end=""311"" data-start=""226"">Mine Safety and Health Administration (MSHA) Part 46 annual refresher requirement</strong> for surface miners and contractors. The course reinforces critical safety and health standards while updating participants on new regulations, industry practices, and workplace hazard awareness.</p>
<p data-end=""953"" data-start=""510"">Through a combination of instruction, discussion, and practical examples, participants will review key topics such as hazard recognition, emergency procedures, personal protective equipment (PPE), safe equipment operation, and rights and responsibilities under MSHA law. The training emphasizes proactive safety awareness and equips workers with the knowledge to prevent accidents and protect themselves and others in high-risk environments.</p>
<p data-end=""1261"" data-start=""955"">By the end of the course, participants will be up to date on required MSHA safety training and better prepared to work safely in surface mining operations. Completion of this program provides documentation of the required <strong data-end=""1213"" data-start=""1177"">8-hour annual refresher training</strong> to maintain compliance with MSHA regulations.</p>",,MSHA 8-Hour Surface; MSHA 8-Hour Refresher,
