Course,Source File,Skill Buckets,Skills,Difficulty (Level),,Category (First level of Course Catalog),Subcategory (Second level of Course Catalog),,Difficulty (Level),Tags,,,Mandatory For,Recommended For,Notes
Motivating Your Team,motivating-your-team-scorm12-YgFh-1Vx.zip,Leadership,,Foundational,,Field Supervision,Leadership,"Skills, Traits, & Responsibilities",Foundational,Field Leadership,,,General Superintendent; Project Management; Superintendents,Executive; Field Leadership; Safety,LOW confidence - verify content before finalizing
"Project Structure, Delegation, and Team Development",2a3202a4-e80d-4659-bedc-532cd6a7838e.zip,Leadership,,Foundational,,Project Planning & Execution,Leadership,Delegation,Foundational,Leadership; Delegation,,,General Superintendent; Project Management; Superintendents,Executive; Field Leadership; Safety,
Performance Management,performance-management-scorm12-yNAMmSEg.zip,Leadership,,Foundational,,Leadership,Leadership,Leadership Fundamentals,Foundational,Leadership,,,Field Leadership; Superintendents,,
Roles and Responsibilties of a Foreman Introduction to Field Leadership Section - 1,roles-and-responsibilties-of-a-foreman-introduction-to-field-leadership-section-1-scorm12-j7alnrme.zip,Leadership,,Foundational,,Field Supervision,Leadership,"Skills, Traits, & Responsibilities",Foundational,Field Leadership,,,Field Leadership; Superintendents,General Superintendent; Project Management; Safety,LOW confidence - verify content before finalizing
Substance Abuse- Introduction to Field Leadership Part - 4 Policy,substance-abuse-introduction-to-field-leadership-part-4-policy-scorm12-mp01ux4h.zip,Leadership,,Foundational,,Leadership,Leadership,Leadership Fundamentals,Foundational,Leadership,,,Field Leadership; General Superintendent; Project Management; Safety; Superintendents,Administration; Estimating; Executive; Other/Specialized,LOW confidence - verify content before finalizing
Time Management - Introduction to Field Leadership Section - 1,time-management-introduction-to-field-leadership-section-1-scorm12-ecy9z7j1.zip,Leadership,,Foundational,,Time Management,Leadership,"Skills, Traits, & Responsibilities",Foundational,Field Leadership,,,Field Leadership; Superintendents,General Superintendent; Project Management; Safety,LOW confidence - verify content before finalizing
Values Driven Leadership : 4 Own Your Team,02d67ee1-0635-4e68-8128-ee32d9f6b657.zip,Leadership,,Foundational,,Accountability,Leadership,Leadership Fundamentals,Foundational,Values-Driven; Leadership,,,Field Leadership; General Superintendent; Superintendents,Executive; Project Management; Safety,LOW confidence - verify content before finalizing
Values Driven Leadership : 10 Planning Your Next Play,03fd4e80-b64f-439b-89c8-784b842c2691.zip,Leadership,,Foundational,,Planning,Leadership,Leadership Fundamentals,Foundational,Values-Driven; Leadership; Planning,,,Field Leadership; General Superintendent; Superintendents,Executive; Project Management; Safety,LOW confidence - verify content before finalizing
Values Driven Leadership : 2 Define Your Core Values,0e803e8d-e40a-47e1-b34c-48b387997be5.zip,Leadership,,Foundational,,Culture & Values,Leadership,Leadership Fundamentals,Foundational,Values-Driven; Leadership,,,Field Leadership; General Superintendent; Superintendents,Executive; Project Management; Safety,LOW confidence - verify content before finalizing
Values Driven Leadership : 12 Improve Individual Performance,1a8c5a7e-1d22-4d32-9dcc-ba401140474a.zip,Leadership,,Foundational,,Performance,Leadership,Leadership Fundamentals,Foundational,Values-Driven; Leadership,,,Field Leadership; General Superintendent; Superintendents,Executive; Project Management; Safety,LOW confidence - verify content before finalizing
Values Driven Leadership : 14 Develop Emerging Leaders,21bd2729-7596-47c8-a379-721843310b5c.zip,Leadership,,Foundational,,Mentoring,Leadership,Leadership Fundamentals,Foundational,Values-Driven; Leadership,,,Field Leadership; General Superintendent; Superintendents,Executive; Project Management; Safety,LOW confidence - verify content before finalizing
Values Driven Leadership : 13 Give Feedback,493823b2-6e7a-44e9-843a-990cd8f81814.zip,Leadership,,Foundational,,Communication,Leadership,Leadership Fundamentals,Foundational,Values-Driven; Leadership,,,Field Leadership; General Superintendent; Superintendents,Executive; Project Management; Safety,LOW confidence - verify content before finalizing
Values Driven Leadership : 7 The Ultimate Motion Offense,4c765778-8bd2-4452-866c-aec8e427dd4a.zip,Leadership,,Foundational,,Values-Driven Leadership,Leadership,Leadership Fundamentals,Foundational,Values-Driven; Leadership,,,Field Leadership; General Superintendent; Superintendents,Executive; Project Management; Safety,LOW confidence - verify content before finalizing
Values Driven Leadership : 6 Read Your People,7062beb5-44e6-4646-8344-d7a09c854b08.zip,Leadership,,Foundational,,Values-Driven Leadership,Leadership,Leadership Fundamentals,Foundational,Values-Driven; Leadership,,,Field Leadership; General Superintendent; Superintendents,Executive; Project Management; Safety,LOW confidence - verify content before finalizing
Values Driven Leadership : 17 Bounce Back from a Loss,781af65a-e80f-43e7-9a6e-03781a978a09.zip,Leadership,,Foundational,,Values-Driven Leadership,Leadership,Leadership Fundamentals,Foundational,Values-Driven; Leadership,,,Field Leadership; General Superintendent; Superintendents,Executive; Project Management; Safety,LOW confidence - verify content before finalizing
Values Driven Leadership : 1 Coach K Teaches Values-Driven Leadership,ab06661d-8075-4ede-84eb-8fb88fd3d500.zip,Leadership,,Foundational,,Values-Driven Leadership,Leadership,Leadership Fundamentals,Foundational,Values-Driven; Leadership,,,Field Leadership; General Superintendent; Superintendents,Executive; Project Management; Safety,
Values Driven Leadership : 3 Cultivate a Winning Team,d226d1a8-172f-41c2-94bb-0a8dce777c94.zip,Leadership,,Foundational,,Values-Driven Leadership,Leadership,Leadership Fundamentals,Foundational,Values-Driven; Leadership,,,Field Leadership; General Superintendent; Superintendents,Executive; Project Management; Safety,LOW confidence - verify content before finalizing
Values Driven Leadership : 5 Making Reads,d4544a6e-93d6-4241-8c0a-15c45ba89e7a.zip,Leadership,,Foundational,,Values-Driven Leadership,Leadership,Leadership Fundamentals,Foundational,Values-Driven; Leadership,,,Field Leadership; General Superintendent; Superintendents,Executive; Project Management; Safety,LOW confidence - verify content before finalizing
Using Tool and Technology- Introduction to Field Leadership Section - 1,using-tool-and-technology-introduction-to-field-leadership-section-1-scorm12-q5xzm9rq.zip,Leadership,,Foundational,,Tool & Equipment Management,Leadership,Tools & Technology,Foundational,Field Leadership,,,Field Leadership; Superintendents,General Superintendent; Project Management; Safety,LOW confidence - verify content before finalizing
What Is Emotional Intelligence?,what-is-emotional-intelligence-scorm12-2b6hr7hq.zip,Leadership,,Foundational,,Leadership,Leadership,Leadership Fundamentals,Foundational,Leadership; Leadership Basics,,,Executive; Field Leadership; General Superintendent; Project Management; Superintendents,Administration; Engineering; Estimating; Field Entry; Field Journeyman; Other/Specialized; Safety,
Nevada's Employee Rights and Responsibilities - New Hire Safety Orientation,64df4a34-c340-4ef1-8a94-9dddd55b3f0d.zip,Leadership,,Foundational,,Nevada Employee Rights,Policy,,Foundational,Safety,,,Field Entry; Field Journeyman; Field Leadership; General Superintendent; Project Management; Safety; Superintendents,Administration; Engineering; Estimating; Executive; Other/Specialized,LOW confidence - verify content before finalizing
Chapter 4 - Building an Effective Team,chapter-4-building-an-effective-team-scorm12-lurfzpkv.zip,Leadership,,Foundational,,Project Team Leadership,Team Building & Teamwork,,Foundational,Team Building; Team Dynamics; Leadership; effective teams; Trust,,,Field Leadership; General Superintendent; Project Management; Superintendents,Executive; Field Journeyman; Safety,LOW confidence - verify content before finalizing
Chapter 6 - Introduction to Team Management,chapter-6-introduction-to-team-management-scorm12-ywlcwpmw.zip,Leadership,,Foundational,,Project Team Leadership,Team Building & Teamwork,,Foundational,Field Leadership,,,Field Leadership; Superintendents,General Superintendent; Project Management; Safety,LOW confidence - verify content before finalizing
Introduction to Team Management- Introduction to Field Leadership Section - 1,introduction-to-team-management-introduction-to-field-leadership-section-1-scorm12-ymggz-66.zip,Leadership,,Foundational,,Project Team Leadership,Team Building & Teamwork,,Foundational,Field Leadership,,,Field Leadership; Superintendents,General Superintendent; Project Management; Safety,LOW confidence - verify content before finalizing
Chapter 1 Job Plan Theory,chapter-1-job-plan-theory-scorm12-lhuuftlp.zip,Leadership,Software,Foundational,,Excel,Job Plans,Project Planning & Scheduling,Foundational,job plan; Planning; project planning; fundamentals,,,Field Leadership; Superintendents,General Superintendent; Project Management,LOW confidence - verify content before finalizing
Boosting Self-Regulation,boosting-self-regulation-scorm12-dmovz3bh.zip,Leadership,Soft Skills,Foundational,,Emotional Intelligence,Self-Regulation,Self-Regulation,Foundational,Emotional Intelligence; Emotional Regulation; Self-Control; Self-Management; Adaptability,,,Executive; Field Leadership; General Superintendent; Project Management; Superintendents,Administration; Engineering; Estimating; Field Entry; Field Journeyman; Other/Specialized; Safety,"REVIEW: possible duplicate - Second VTT file is a duplicate of the first (same content, different filename). Only one unique video."
Chapter 01 - What Is Emotional Intelligence (EQ)?,chapter-01-what-is-emotional-intelligence-eq-scorm12-byirin-l.zip,Leadership,Soft Skills,Foundational,,Emotional Intelligence,Emotional Intelligence,Emotional Intelligence,Foundational,Emotional Intelligence; Self-awareness; Empathy; Social Skills; Self-Control; Leadership,,,Executive; Field Leadership; General Superintendent; Project Management; Superintendents,Administration; Engineering; Estimating; Field Entry; Field Journeyman; Other/Specialized; Safety,REVIEW: possible duplicate - Second VTT is a duplicate. Timecodes need extraction from raw VTT cues.
The Art of Presenting - 1 of 3,the-art-of-presenting-1-of-3-scorm12-8zxc6t4x.zip,Leadership,Soft Skills,Foundational,,Presentation Skills,Presentation Skills,,Foundational,Communication,,,Executive; General Superintendent; Project Management; Superintendents,Field Leadership; Safety,
The Art of Presenting - 2 of 3,the-art-of-presenting-2-of-3-scorm12-l_ebmf_n.zip,Leadership,Soft Skills,Foundational,,Presentation Skills,Presentation Skills,,Foundational,Communication,,,Executive; General Superintendent; Project Management; Superintendents,Field Leadership; Safety,
The Art of Presenting - 3 of 3,the-art-of-presenting-3-of-3-scorm12-medonbco.zip,Leadership,Soft Skills,Foundational,,Presentation Skills,Presentation Skills,,Foundational,Communication,,,Executive; General Superintendent; Project Management; Superintendents,Field Leadership; Safety,
The Art of Presenting - Chapter 1: The Power of Great Presenting,the-art-of-presenting-chapter-1-the-power-of-great-presenting-scorm12-vamagq-w.zip,Leadership,Soft Skills,Foundational,,Presentation Skills,Presentation Skills,,Foundational,Communication,,,Executive; General Superintendent; Project Management; Superintendents,Field Leadership; Safety,
The Art of Presenting - Chapter 2: The Giver's Mindset,the-art-of-presenting-chapter-2-the-givers-mindset-scorm12-ku2y7zgl.zip,Leadership,Soft Skills,Foundational,,Presentation Skills,Presentation Skills,,Foundational,Communication,,,Executive; General Superintendent; Project Management; Superintendents,Field Leadership; Safety,
The Art of Presenting - Chapter 3: Building Your Outline,the-art-of-presenting-chapter-3-building-your-outline-scorm12-c-q6adkv.zip,Leadership,Soft Skills,Foundational,,Presentation Skills,Presentation Skills,,Foundational,Communication,,,Executive; General Superintendent; Project Management; Superintendents,Field Leadership; Safety,
The Art of Presenting -Chapter 4: Creating Your Slides,the-art-of-presenting-chapter-4-creating-your-slides-scorm12-0sloaxu1.zip,Leadership,Soft Skills,Foundational,,Presentation Skills,Presentation Skills,,Foundational,Communication,,,Executive; General Superintendent; Project Management; Superintendents,Field Leadership; Safety,
The Art of Presenting - Chapter 5a: Preparing to Present,the-art-of-presenting-chapter-5-a-preparing-to-present-scorm12-1s5yhlrb.zip,Leadership,Soft Skills,Foundational,,Presentation Skills,Presentation Skills,,Foundational,Communication,,,Executive; General Superintendent; Project Management; Superintendents,Field Leadership; Safety,
The Art of Presenting - Chapter 6: Making a First Impression,the-art-of-presenting-chapter-6-making-a-first-impression-scorm12-wmxcgy5v.zip,Leadership,Soft Skills,Foundational,,Presentation Skills,Presentation Skills,,Foundational,Communication,,,Executive; General Superintendent; Project Management; Superintendents,Field Leadership; Safety,
The Art of Presenting - Chapter 7a.1: Delivering Your Presentation,the-art-of-presenting-chapter-7-a-1-delivering-your-presentation-scorm12-bz_habq9.zip,Leadership,Soft Skills,Foundational,,Presentation Skills,Presentation Skills,,Foundational,Communication,,,Executive; General Superintendent; Project Management; Superintendents,Field Leadership; Safety,
The Art of Presenting - Chapter 7a: Delivering Your Presentation,the-art-of-presenting-chapter-7-a-delivering-your-presentation-scorm12-mda1rlln.zip,Leadership,Soft Skills,Foundational,,Presentation Skills,Presentation Skills,,Foundational,Communication,,,Executive; General Superintendent; Project Management; Superintendents,Field Leadership; Safety,
The Art of Presenting - Chapter 7b: Delivering Your Presentation,the-art-of-presenting-chapter-7-b-delivering-your-presentation-scorm12-w8rvumau (1).zip,Leadership,Soft Skills,Foundational,,Presentation Skills,Presentation Skills,,Foundational,Communication,,,Executive; General Superintendent; Project Management; Superintendents,Field Leadership; Safety,
The Art of Presenting - Chapter 7c: Delivering Your Presentation,the-art-of-presenting-chapter-7-c-delivering-your-presentation-scorm12-omhngorm (1).zip,Leadership,Soft Skills,Foundational,,Presentation Skills,Presentation Skills,,Foundational,Communication,,,Executive; General Superintendent; Project Management; Superintendents,Field Leadership; Safety,
